Brain network from Boas2014 image stack via Amira HxSpatialGraph
610 610 660 box dimensions in microns
32 32 32 number of tissue points in x,y,z directions
10	outer bound distance
100	max. segment length
6		maximum number of segments per node
4870	total number of segments
SegName Type StartNode EndNode Diam   Flow[nl/min]    Hd
1 5 4 2316 6.746446 0.000000 0.400000
2 5 2316 5 6.746446 0.000000 0.400000
4 5 4 2319 8.250800 0.000000 0.400000
5 5 2319 6 8.250800 0.000000 0.400000
7 5 7 2322 17.619814 0.000000 0.400000
8 5 2322 2323 17.619814 0.000000 0.400000
9 5 2323 8 17.619814 0.000000 0.400000
11 5 9 2326 5.870740 0.000000 0.400000
12 5 2326 2327 5.870740 0.000000 0.400000
13 5 2327 2328 5.870740 0.000000 0.400000
14 5 2328 10 5.870740 0.000000 0.400000
16 5 9 11 8.131196 0.000000 0.400000
18 5 9 2333 6.376326 0.000000 0.400000
19 5 2333 12 6.376326 0.000000 0.400000
21 5 13 14 7.889373 0.000000 0.400000
23 5 13 2338 6.766766 0.000000 0.400000
24 5 2338 2339 6.766766 0.000000 0.400000
25 5 2339 15 6.766766 0.000000 0.400000
27 5 13 2342 6.519208 0.000000 0.400000
28 5 2342 16 6.519208 0.000000 0.400000
30 5 10 17 8.435943 0.000000 0.400000
32 5 2 18 20.155573 0.000000 0.400000
34 5 19 2349 8.123220 0.000000 0.400000
35 5 2349 20 8.123220 0.000000 0.400000
37 5 19 14 12.957737 0.000000 0.400000
39 5 19 21 7.453741 0.000000 0.400000
41 5 14 2356 6.724391 0.000000 0.400000
42 5 2356 2357 6.724391 0.000000 0.400000
43 5 2357 22 6.724391 0.000000 0.400000
45 5 20 23 8.457060 0.000000 0.400000
47 5 11 2362 7.685720 0.000000 0.400000
48 5 2362 24 7.685720 0.000000 0.400000
50 5 12 24 8.657642 0.000000 0.400000
52 5 12 25 8.038163 0.000000 0.400000
54 5 26 2369 27.696142 0.000000 0.400000
55 5 2369 2370 27.696142 0.000000 0.400000
56 5 2370 27 27.696142 0.000000 0.400000
58 5 26 18 25.185976 0.000000 0.400000
60 5 18 28 12.279547 0.000000 0.400000
62 5 20 2377 11.045782 0.000000 0.400000
63 5 2377 30 11.045782 0.000000 0.400000
65 5 31 32 10.486503 0.000000 0.400000
67 5 32 2382 11.711914 0.000000 0.400000
68 5 2382 33 11.711914 0.000000 0.400000
70 5 11 2385 4.933929 0.000000 0.400000
71 5 2385 2386 4.933929 0.000000 0.400000
72 5 2386 34 4.933929 0.000000 0.400000
74 5 11 35 7.893287 0.000000 0.400000
76 5 24 36 4.355643 0.000000 0.400000
78 5 37 2393 6.256295 0.000000 0.400000
79 5 2393 38 6.256295 0.000000 0.400000
81 5 39 2396 6.146204 0.000000 0.400000
82 5 2396 40 6.146204 0.000000 0.400000
